ano,epiweek,territory_name,casos,situation_name,value
2009,1,Acre,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Alagoas,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Amapá,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Amazonas,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Bahia,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Ceará,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Distrito Federal,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Espírito Santo,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Goiás,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Maranhão,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Mato Grosso,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Mato Grosso do Sul,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Minas Gerais,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Paraná,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Paraíba,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Pará,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Pernambuco,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Piauí,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Rio Grande do Norte,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Rio Grande do Sul,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Rio de Janeiro,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Rondônia,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Roraima,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Santa Catarina,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Sergipe,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,São Paulo,0,Dado estável. Sujeito a pequenas alterações.,0
2009,1,Tocantins,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Acre,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Alagoas,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Amapá,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Amazonas,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Bahia,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Ceará,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Distrito Federal,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Espírito Santo,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Goiás,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Maranhão,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Mato Grosso,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Mato Grosso do Sul,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Minas Gerais,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Paraná,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Paraíba,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Pará,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Pernambuco,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Piauí,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Rio Grande do Norte,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Rio Grande do Sul,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Rio de Janeiro,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Rondônia,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Roraima,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Santa Catarina,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Sergipe,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,São Paulo,0,Dado estável. Sujeito a pequenas alterações.,0
2009,2,Tocantins,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Acre,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Alagoas,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Amapá,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Amazonas,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Bahia,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Ceará,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Distrito Federal,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Espírito Santo,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Goiás,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Maranhão,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Mato Grosso,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Mato Grosso do Sul,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Minas Gerais,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Paraná,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Paraíba,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Pará,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Pernambuco,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Piauí,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Rio Grande do Norte,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Rio Grande do Sul,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Rio de Janeiro,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Rondônia,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Roraima,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Santa Catarina,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Sergipe,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,São Paulo,0,Dado estável. Sujeito a pequenas alterações.,0
2009,3,Tocantins,0,Dado estável. Sujeito a pequenas alterações.,0
